# Species	Genes	Alg.-Conn.	H_tartakovskyi.faa	P_berghei.faa	P_cynomolgi.faa	P_faciparum.faa	P_knowlesi.faa	P_vivax.faa	P_yoelii.faa	T_gondii.faa
8	15	0.12	1107_g	1717_g,4836_g	1612_g,1733_g	1561_g,1443_g	1673_g,1775_g	1704_g,1587_g	2664_g,2549_g	14_g,376_g
6	6	0.667	*	1524_g	1364_g	1678_g	1411_g	1340_g	4798_g	*
6	6	0.667	*	1588_g	3926_g	4167_g	4011_g	3922_g	2145_g	*
6	6	0.667	*	173_g	1867_g	1311_g	1909_g	1832_g	2428_g	*
6	6	0.667	*	1889_g	204_g	4543_g	218_g	195_g	4394_g	*
6	6	0.667	*	2065_g	3565_g	3218_g	3646_g	3723_g	3174_g	*
6	6	0.667	*	2098_g	1292_g	1749_g	1337_g	1272_g	4729_g	*
6	6	0.667	*	2117_g	4082_g	3052_g	4172_g	4099_g	3542_g	*
6	6	0.667	*	2136_g	637_g	3535_g	653_g	612_g	784_g	*
6	6	0.667	*	2186_g	422_g	563_g	432_g	407_g	1700_g	*
6	6	0.667	*	2229_g	4743_g	2893_g	4855_g	4743_g	3736_g	*
6	6	0.667	*	2467_g	956_g	317_g	988_g	941_g	333_g	*
6	6	0.667	*	2473_g	380_g	601_g	388_g	370_g	1737_g	*
6	6	0.667	*	249_g	2453_g	2446_g	2524_g	2411_g	1499_g	*
6	6	0.667	*	2708_g	2994_g	1174_g	3063_g	2948_g	3432_g	*
6	6	0.667	*	2738_g	65_g	4676_g	73_g	60_g	873_g	*
6	6	0.667	*	2745_g	4059_g	3030_g	4151_g	4078_g	3520_g	*
6	6	0.667	*	2859_g	336_g	644_g	342_g	326_g	1779_g	*
6	6	0.667	*	2887_g	1080_g	1953_g	1113_g	1060_g	448_g	*
6	6	0.667	*	3007_g	1827_g	1349_g	1869_g	1794_g	2463_g	*
6	6	0.667	*	3022_g	2366_g	2355_g	2442_g	2326_g	1419_g	*
6	6	0.667	*	3101_g	4714_g	2867_g	4828_g	4716_g	3762_g	*
6	6	0.667	*	3108_g	752_g	3418_g	788_g	728_g	47_g	*
6	6	0.667	*	3203_g	856_g	419_g	892_g	838_g	244_g	*
6	6	0.667	*	3263_g	2290_g	2278_g	2357_g	2251_g	1343_g	*
6	6	0.667	*	3265_g	1260_g	1781_g	1306_g	1239_g	4698_g	*
6	6	0.667	*	3269_g	1256_g	1784_g	1302_g	1235_g	4694_g	*
6	6	0.667	*	3513_g	1656_g	1520_g	1715_g	1629_g	2623_g	*
6	6	0.667	*	364_g	50_g	4691_g	56_g	46_g	889_g	*
6	6	0.667	*	3968_g	779_g	492_g	816_g	765_g	4659_g	*
6	6	0.667	*	4184_g	1146_g	1883_g	1189_g	1129_g	516_g	*
6	6	0.667	*	4191_g	517_g	3653_g	533_g	496_g	1610_g	*
6	6	0.667	*	4250_g	2442_g	2435_g	2510_g	2400_g	1488_g	*
6	6	0.667	*	4279_g	1359_g	1683_g	1406_g	1335_g	4793_g	*
6	6	0.667	*	4303_g	1802_g	1376_g	1844_g	1769_g	2485_g	*
6	6	0.667	*	4404_g	1290_g	1751_g	1335_g	1270_g	4727_g	*
6	6	0.667	*	4410_g	2344_g	2331_g	2411_g	2303_g	1397_g	*
6	6	0.667	*	4429_g	374_g	607_g	382_g	364_g	1742_g	*
6	6	0.667	*	579_g	2372_g	2361_g	2448_g	2332_g	1425_g	*
6	6	0.667	*	6511_g	2566_g	1050_g	2636_g	2541_g	2346_g	*
6	6	0.667	*	6515_g	1355_g	1688_g	1401_g	1332_g	4788_g	*
6	6	0.667	*	6674_g	1557_g	1614_g	1610_g	1536_g	2717_g	*
6	6	0.667	*	6679_g	2414_g	2401_g	2481_g	2372_g	1464_g	*
6	6	0.667	*	6771_g	2154_g	764_g	2206_g	2111_g	1207_g	*
6	6	0.667	*	6804_g	2410_g	2397_g	2477_g	2368_g	1461_g	*
6	6	0.667	*	6830_g	1937_g	64_g	1974_g	1899_g	1001_g	*
6	6	0.667	*	6_g	2140_g	779_g	2191_g	2097_g	1194_g	*
6	6	0.667	*	701_g	1357_g	1685_g	1404_g	1334_g	4791_g	*
6	6	0.667	*	7225_g	4110_g	3078_g	4204_g	4127_g	3571_g	*
6	6	0.667	*	731_g	2086_g	1111_g	2128_g	2042_g	1137_g	*
6	6	0.667	*	743_g	1809_g	1370_g	1851_g	1776_g	2479_g	*
6	6	0.667	*	830_g	2102_g	818_g	2149_g	2060_g	1156_g	*
6	6	0.667	*	878_g	4798_g	2942_g	4905_g	4794_g	3687_g	*
6	6	0.667	*	936_g	1281_g	1761_g	1325_g	1260_g	4718_g	*
6	6	0.667	*	997_g	1264_g	1777_g	1310_g	1243_g	4702_g	*
6	6	0.667	108_g	622_g	2801_g	1234_g	*	2776_g	1908_g	*
6	6	0.667	12_g	4334_g	*	97_g	2009_g	1931_g	1033_g	*
6	6	0.667	1401_g	1636_g	2667_g	704_g	*	2644_g	758_g	*
6	6	0.667	160_g	*	3386_g	5084_g	*	3370_g	4556_g	6759_g
6	6	0.667	643_g	4261_g	1715_g	1462_g	*	1685_g	2565_g	*
6	6	0.667	801_g	*	2444_g	2437_g	2512_g	2402_g	1490_g	*
6	6	0.667	875_g	3916_g	3087_g	4894_g	*	3060_g	4234_g	*
6	6	0.667	881_g	*	2316_g	2303_g	2382_g	2275_g	1369_g	*
6	6	0.5	*	*	2808_g	1241_g	2883_g	2783_g	1901_g	2256_g
6	6	0.5	*	1034_g	3094_g	4887_g	3159_g	3066_g	4229_g	*
6	6	0.5	*	1138_g	481_g	510_g	492_g	461_g	1649_g	*
6	6	0.5	*	1147_g	4762_g	2910_g	4872_g	4761_g	3720_g	*
6	6	0.5	*	116_g	1386_g	1656_g	1432_g	1361_g	4820_g	*
6	6	0.5	*	1343_g	3903_g	4142_g	3983_g	3897_g	2170_g	*
6	6	0.5	*	1447_g	4814_g	2957_g	4920_g	4806_g	3673_g	*
6	6	0.5	*	1665_g	20_g	4721_g	27_g	16_g	916_g	*
6	6	0.5	*	1858_g	397_g	585_g	408_g	386_g	1719_g	*
6	6	0.5	*	1905_g	4249_g	3880_g	4363_g	4258_g	2319_g	*
6	6	0.5	*	1_g	332_g	648_g	337_g	322_g	1783_g	*
6	6	0.5	*	209_g	2487_g	2482_g	2560_g	2450_g	1534_g	*
6	6	0.5	*	2153_g	1844_g	1333_g	1886_g	1812_g	2448_g	*
6	6	0.5	*	216_g	3082_g	4898_g	3150_g	3056_g	4238_g	*
6	6	0.5	*	2285_g	3548_g	3200_g	3627_g	3555_g	3191_g	*
6	6	0.5	*	2335_g	4530_g	2691_g	4643_g	4539_g	3937_g	*
6	6	0.5	*	2524_g	4707_g	2860_g	4818_g	4707_g	3768_g	*
6	6	0.5	*	2613_g	679_g	3495_g	702_g	654_g	119_g	*
6	6	0.5	*	2651_g	783_g	488_g	820_g	769_g	4655_g	*
6	6	0.5	*	274_g	3913_g	4152_g	3994_g	3908_g	2160_g	*
6	6	0.5	*	2788_g	2200_g	2183_g	2258_g	2156_g	1251_g	*
6	6	0.5	*	2796_g	851_g	425_g	886_g	833_g	238_g	*
6	6	0.5	*	280_g	12_g	4729_g	15_g	8_g	923_g	*
6	6	0.5	*	2923_g	1950_g	77_g	1988_g	1912_g	1014_g	*
6	6	0.5	*	2925_g	1948_g	74_g	1985_g	1910_g	1012_g	*
6	6	0.5	*	2939_g	3865_g	4105_g	3948_g	3858_g	2206_g	*
6	6	0.5	*	3004_g	4109_g	3077_g	4203_g	4126_g	3570_g	*
6	6	0.5	*	3051_g	1768_g	1407_g	1815_g	1739_g	2514_g	*
6	6	0.5	*	3061_g	415_g	569_g	425_g	401_g	1706_g	*
6	6	0.5	*	3253_g	1428_g	1982_g	1471_g	1402_g	4859_g	*
6	6	0.5	*	3334_g	2986_g	1166_g	3055_g	2940_g	3424_g	*
6	6	0.5	*	3336_g	2161_g	2144_g	2215_g	2118_g	1214_g	*
6	6	0.5	*	3342_g	3671_g	3318_g	3755_g	3625_g	3074_g	*
6	6	0.5	*	3356_g	4124_g	3088_g	4222_g	4140_g	3583_g	*
6	6	0.5	*	3411_g	1477_g	2081_g	1523_g	1455_g	3304_g	*
6	6	0.5	*	3434_g	3185_g	4805_g	3257_g	3162_g	4149_g	*
6	6	0.5	*	3464_g	4734_g	2886_g	4847_g	4736_g	3743_g	*
6	6	0.5	*	3471_g	2226_g	2212_g	2286_g	2183_g	1280_g	*
6	6	0.5	*	354_g	2445_g	2438_g	2513_g	2403_g	1491_g	*
6	6	0.5	*	3680_g	424_g	561_g	434_g	409_g	1698_g	*
6	6	0.5	*	3934_g	175_g	4568_g	187_g	170_g	4369_g	*
6	6	0.5	*	4074_g	1962_g	89_g	2001_g	1923_g	1026_g	*
6	6	0.5	*	4107_g	156_g	4588_g	168_g	150_g	4352_g	*
6	6	0.5	*	425_g	2068_g	193_g	2111_g	2026_g	1121_g	*
6	6	0.5	*	4323_g	4152_g	3113_g	4249_g	4167_g	3609_g	*
6	6	0.5	*	480_g	226_g	4520_g	240_g	215_g	4417_g	*
6	6	0.5	*	5302_g	2907_g	5042_g	2984_g	2877_g	2739_g	*
6	6	0.5	*	5335_g	1560_g	1611_g	1613_g	1539_g	2714_g	*
6	6	0.5	*	6388_g	4198_g	3155_g	4297_g	4209_g	634_g	*
6	6	0.5	*	6548_g	4593_g	2751_g	4705_g	4598_g	3881_g	*
6	6	0.5	*	6583_g	150_g	4595_g	162_g	143_g	793_g	*
6	6	0.5	*	6609_g	4293_g	3839_g	4395_g	4300_g	2926_g	*
6	6	0.5	*	6638_g	2920_g	5055_g	2998_g	2889_g	2727_g	*
6	6	0.5	*	6640_g	410_g	573_g	421_g	397_g	1709_g	*
6	6	0.5	*	6652_g	2039_g	161_g	2077_g	1996_g	1092_g	*
6	6	0.5	*	6706_g	2912_g	5047_g	2990_g	2882_g	2735_g	*
6	6	0.5	*	6859_g	847_g	429_g	882_g	829_g	233_g	*
6	6	0.5	*	6863_g	3737_g	3979_g	3815_g	3734_g	2980_g	*
6	6	0.5	*	688_g	1006_g	269_g	1040_g	988_g	377_g	*
6	6	0.5	*	7078_g	1790_g	1385_g	1834_g	1760_g	2494_g	*
6	6	0.5	*	715_g	2374_g	2362_g	2449_g	2333_g	1426_g	*
6	6	0.5	*	799_g	2518_g	2512_g	2593_g	2479_g	1562_g	*
6	6	0.5	*	80_g	654_g	3519_g	673_g	628_g	144_g	*
6	6	0.5	*	814_g	729_g	3440_g	759_g	708_g	67_g	*
6	6	0.5	*	904_g	396_g	587_g	405_g	384_g	1721_g	*
6	6	0.5	*	980_g	1983_g	108_g	2019_g	1942_g	1043_g	*
6	6	0.5	104_g	5208_g	2805_g	1238_g	*	2780_g	1904_g	*
6	6	0.5	1079_g	6783_g	3208_g	4783_g	*	3182_g	4130_g	*
6	6	0.5	1113_g	*	1097_g	1935_g	1132_g	1078_g	466_g	*
6	6	0.5	141_g	*	1786_g	1389_g	1830_g	1756_g	2498_g	*
6	6	0.5	251_g	*	3756_g	3997_g	3833_g	3752_g	2962_g	*
6	6	0.5	317_g	*	2318_g	2305_g	2384_g	2277_g	1371_g	*
6	6	0.5	421_g	*	2342_g	2329_g	2409_g	2301_g	1395_g	*
6	6	0.5	500_g	*	2213_g	2195_g	2272_g	2169_g	1265_g	*
6	6	0.5	529_g	*	3071_g	4909_g	3139_g	3045_g	4249_g	*
6	6	0.5	555_g	1959_g	3818_g	4055_g	*	3810_g	2258_g	*
6	6	0.5	561_g	2406_g	4793_g	2937_g	*	4789_g	3692_g	*
6	6	0.5	628_g	2864_g	4730_g	2882_g	*	4732_g	3747_g	*
6	6	0.5	709_g	738_g	3765_g	4005_g	*	3761_g	2952_g	*
6	6	0.5	75_g	*	15_g	4725_g	18_g	11_g	920_g	*
6	6	0.5	787_g	*	581_g	3590_g	597_g	558_g	4300_g	*
6	6	0.5	831_g	4062_g	4423_g	2578_g	*	4426_g	4041_g	*
6	6	0.5	857_g	*	2159_g	2142_g	2212_g	2116_g	1212_g	*
6	6	0.431	*	1143_g	1166_g	1864_g	1209_g	1149_g	541_g	*
6	6	0.431	*	1304_g	2241_g	2226_g	2300_g	2198_g	1294_g	*
6	6	0.431	*	1384_g	3402_g	5101_g	3482_g	3385_g	4573_g	*
6	6	0.431	*	1624_g	3806_g	4044_g	3887_g	3799_g	2270_g	*
6	6	0.431	*	1734_g	2240_g	2225_g	2299_g	2197_g	1293_g	*
6	6	0.431	*	1913_g	3918_g	4159_g	4003_g	3914_g	2152_g	*
6	6	0.431	*	2086_g	790_g	482_g	827_g	776_g	181_g	*
6	6	0.431	*	2097_g	1293_g	1748_g	1338_g	1273_g	4730_g	*
6	6	0.431	*	2137_g	638_g	3534_g	654_g	613_g	783_g	*
6	6	0.431	*	2140_g	2334_g	2321_g	2400_g	2293_g	1387_g	*
6	6	0.431	*	2265_g	501_g	3669_g	512_g	480_g	1626_g	*
6	6	0.431	*	2477_g	865_g	411_g	901_g	845_g	250_g	*
6	6	0.431	*	2619_g	1061_g	215_g	1095_g	1042_g	431_g	*
6	6	0.431	*	268_g	2236_g	2221_g	2295_g	2193_g	1289_g	*
6	6	0.431	*	2834_g	3748_g	3989_g	3825_g	3744_g	2970_g	*
6	6	0.431	*	292_g	871_g	405_g	906_g	851_g	256_g	*
6	6	0.431	*	2932_g	2727_g	4398_g	2792_g	2698_g	1983_g	*
6	6	0.431	*	2_g	1654_g	1523_g	1713_g	1626_g	2626_g	*
6	6	0.431	*	3187_g	1682_g	1494_g	1740_g	1655_g	2597_g	*
6	6	0.431	*	3307_g	2769_g	4352_g	2840_g	2742_g	1939_g	*
6	6	0.431	*	3491_g	4206_g	3923_g	4307_g	4218_g	643_g	*
6	6	0.431	*	3839_g	4696_g	2850_g	4806_g	4696_g	3777_g	*
6	6	0.431	*	400_g	1628_g	1546_g	1689_g	1603_g	2648_g	*
6	6	0.431	*	4207_g	2547_g	1030_g	2612_g	2521_g	2365_g	*
6	6	0.431	*	557_g	1254_g	1786_g	1300_g	1233_g	4692_g	*
6	6	0.431	*	6773_g	4503_g	2662_g	4615_g	4510_g	3961_g	*
6	6	0.431	*	6960_g	97_g	4645_g	107_g	92_g	839_g	*
6	6	0.431	*	871_g	2832_g	1263_g	2907_g	2804_g	1880_g	*
6	6	0.431	1308_g	3446_g	1517_g	2118_g	*	1493_g	3336_g	*
6	6	0.431	1319_g	4102_g	430_g	555_g	440_g	415_g	*	*
6	6	0.431	133_g	*	2555_g	1040_g	2624_g	2530_g	2356_g	*
6	6	0.431	1342_g	*	2283_g	2271_g	2350_g	2244_g	1336_g	*
6	6	0.431	1348_g	1382_g	*	2476_g	2555_g	2443_g	1527_g	*
6	6	0.431	156_g	*	488_g	502_g	499_g	468_g	1640_g	*
6	6	0.431	324_g	7055_g	4142_g	3104_g	*	4156_g	3600_g	*
6	6	0.431	327_g	1824_g	1165_g	*	1208_g	1148_g	540_g	*
6	6	0.431	334_g	*	1085_g	1948_g	1118_g	1065_g	453_g	*
6	6	0.431	363_g	6982_g	3432_g	5122_g	*	3428_g	4595_g	*
6	6	0.431	519_g	880_g	2887_g	5021_g	*	2856_g	2759_g	*
6	6	0.431	848_g	4108_g	155_g	4589_g	167_g	*	4351_g	*
6	6	0.397	*	1139_g	480_g	511_g	491_g	460_g	1650_g	*
6	6	0.397	*	1282_g	2822_g	1254_g	2895_g	2795_g	1887_g	*
6	6	0.397	*	146_g	1032_g	243_g	1066_g	1014_g	404_g	*
6	6	0.397	*	159_g	3002_g	1184_g	3071_g	2956_g	3442_g	*
6	6	0.397	*	2162_g	1044_g	233_g	1076_g	1024_g	414_g	*
6	6	0.397	*	2239_g	2860_g	4993_g	2936_g	2829_g	2783_g	*
6	6	0.397	*	2687_g	741_g	3429_g	776_g	717_g	58_g	*
6	6	0.397	*	3409_g	2184_g	2167_g	2240_g	2141_g	1235_g	*
6	6	0.397	*	3475_g	1934_g	61_g	1971_g	1897_g	999_g	*
6	6	0.397	*	4076_g	4803_g	2947_g	4911_g	4798_g	3682_g	*
6	6	0.397	*	984_g	1986_g	111_g	2022_g	1945_g	1046_g	*
6	6	0.397	1014_g	*	1291_g	1750_g	1336_g	1271_g	4728_g	*
6	6	0.397	1101_g	1464_g	3633_g	3283_g	*	3660_g	3111_g	*
6	6	0.397	115_g	*	458_g	529_g	468_g	442_g	1667_g	*
6	6	0.397	216_g	4861_g	*	2649_g	4603_g	4497_g	3974_g	*
6	6	0.397	291_g	*	1134_g	1897_g	1176_g	1116_g	503_g	*
6	6	0.397	388_g	2736_g	4481_g	2638_g	*	4488_g	3984_g	*
6	6	0.397	633_g	*	1038_g	237_g	1072_g	1020_g	410_g	*
6	6	0.378	*	1119_g	1801_g	1377_g	1843_g	1768_g	2486_g	*
6	6	0.378	*	1180_g	2244_g	2229_g	2303_g	2201_g	1296_g	*
6	6	0.378	*	3282_g	1853_g	1325_g	1894_g	1819_g	2442_g	*
6	6	0.378	*	3362_g	23_g	4718_g	30_g	20_g	913_g	*
6	6	0.378	*	3575_g	4653_g	2806_g	4762_g	4653_g	3825_g	*
6	6	0.378	*	4020_g	1094_g	1939_g	1127_g	1074_g	462_g	*
6	6	0.378	*	4140_g	3627_g	3277_g	3710_g	3666_g	3117_g	*
6	6	0.378	*	4383_g	2065_g	189_g	2109_g	2024_g	1119_g	*
6	6	0.378	*	4964_g	1412_g	1968_g	1456_g	1388_g	4845_g	*
6	6	0.378	*	538_g	624_g	3546_g	641_g	599_g	4342_g	*
6	6	0.378	*	6849_g	390_g	593_g	398_g	379_g	1727_g	*
6	6	0.378	752_g	*	439_g	547_g	451_g	424_g	1685_g	*
6	6	0.333	*	*	670_g	3504_g	690_g	644_g	128_g	7838_g
6	6	0.333	*	125_g	834_g	442_g	866_g	816_g	220_g	*
6	6	0.333	*	1277_g	3984_g	4226_g	4079_g	3986_g	2086_g	*
6	6	0.333	*	1371_g	3154_g	4829_g	3228_g	3128_g	4172_g	*
6	6	0.333	*	1482_g	1593_g	1585_g	1641_g	1565_g	2685_g	*
6	6	0.333	*	1668_g	2307_g	2294_g	2372_g	2264_g	1360_g	*
6	6	0.333	*	2044_g	2038_g	160_g	2076_g	1995_g	1091_g	*
6	6	0.333	*	2060_g	2381_g	2367_g	2453_g	2338_g	1431_g	*
6	6	0.333	*	2377_g	1825_g	1352_g	1867_g	1791_g	2466_g	*
6	6	0.333	*	2533_g	3544_g	3196_g	3623_g	3551_g	1823_g	*
6	6	0.333	*	2631_g	1283_g	1759_g	1327_g	1262_g	4719_g	*
6	6	0.333	*	2669_g	1572_g	1599_g	1626_g	1551_g	2703_g	*
6	6	0.333	*	2769_g	2255_g	2240_g	2315_g	2213_g	1306_g	*
6	6	0.333	*	2858_g	2064_g	188_g	2108_g	2023_g	1118_g	*
6	6	0.333	*	2888_g	1081_g	1952_g	1114_g	1061_g	449_g	*
6	6	0.333	*	3167_g	4474_g	2631_g	4586_g	4481_g	3991_g	*
6	6	0.333	*	3190_g	1799_g	1379_g	1840_g	1766_g	2488_g	*
6	6	0.333	*	343_g	2404_g	2391_g	2434_g	2362_g	1455_g	*
6	6	0.333	*	3486_g	4402_g	3725_g	4512_g	4409_g	2817_g	*
6	6	0.333	*	3719_g	1650_g	1527_g	1709_g	1622_g	2630_g	*
6	6	0.333	*	3812_g	706_g	3465_g	731_g	684_g	91_g	*
6	6	0.333	*	4044_g	4349_g	3782_g	4457_g	4359_g	2869_g	*
6	6	0.333	*	4054_g	4162_g	3122_g	4258_g	4176_g	3618_g	*
6	6	0.333	*	4313_g	2291_g	2279_g	2358_g	2252_g	1344_g	*
6	6	0.333	*	4430_g	1841_g	1337_g	1882_g	1808_g	2452_g	*
6	6	0.333	*	6449_g	1551_g	1620_g	1605_g	1531_g	3371_g	*
6	6	0.333	*	6514_g	1217_g	1818_g	1263_g	1199_g	587_g	*
6	6	0.333	*	6559_g	1864_g	1313_g	1906_g	1829_g	2431_g	*
6	6	0.333	*	6729_g	2855_g	4989_g	2929_g	2824_g	2788_g	*
6	6	0.333	*	6889_g	685_g	3487_g	708_g	662_g	112_g	*
6	6	0.333	*	6941_g	4165_g	3125_g	4261_g	4179_g	3621_g	*
6	6	0.333	*	883_g	1917_g	43_g	1951_g	1879_g	980_g	*
6	6	0.333	*	889_g	952_g	321_g	984_g	937_g	329_g	*
6	6	0.333	*	939_g	3012_g	1192_g	3080_g	2965_g	3451_g	*
6	6	0.333	1091_g	1575_g	3877_g	4117_g	*	3870_g	2194_g	*
6	6	0.333	1121_g	7228_g	4320_g	3811_g	*	4328_g	2897_g	*
6	6	0.333	1151_g	4030_g	4449_g	2606_g	*	4454_g	4015_g	*
6	6	0.333	1157_g	*	2110_g	810_g	2157_g	2068_g	1164_g	*
6	6	0.333	1349_g	1550_g	2955_g	1143_g	*	2920_g	3400_g	*
6	6	0.333	293_g	1301_g	1757_g	1418_g	*	1728_g	2524_g	*
6	6	0.333	471_g	1659_g	3540_g	3191_g	*	3545_g	1828_g	*
6	6	0.333	623_g	*	906_g	367_g	944_g	888_g	290_g	*
6	6	0.333	640_g	*	2284_g	2272_g	2351_g	2245_g	1337_g	*
6	6	0.333	651_g	*	3928_g	4169_g	4013_g	3924_g	2143_g	*
6	6	0.333	719_g	*	1599_g	1578_g	1647_g	1571_g	2679_g	*
6	6	0.333	821_g	3213_g	3676_g	3323_g	*	3620_g	3070_g	*
6	6	0.333	928_g	6885_g	*	3522_g	670_g	626_g	146_g	*
6	6	0.305	*	124_g	835_g	441_g	867_g	817_g	221_g	*
6	6	0.305	*	1530_g	2331_g	2318_g	2397_g	2290_g	1384_g	*
6	6	0.305	*	1578_g	2417_g	2412_g	2484_g	2375_g	1467_g	*
6	6	0.305	*	1587_g	3198_g	4792_g	3270_g	3174_g	4138_g	*
6	6	0.305	*	1953_g	1833_g	1343_g	1875_g	1801_g	2457_g	*
6	6	0.305	*	2152_g	1845_g	1332_g	1887_g	1813_g	2447_g	*
6	6	0.305	*	2231_g	88_g	4654_g	98_g	84_g	849_g	*
6	6	0.305	*	2311_g	2165_g	2148_g	2219_g	2122_g	1217_g	*
6	6	0.305	*	2314_g	219_g	4529_g	232_g	208_g	4408_g	*
6	6	0.305	*	2746_g	4417_g	2572_g	4522_g	4420_g	4048_g	*
6	6	0.305	*	284_g	3999_g	4240_g	4095_g	4001_g	2071_g	*
6	6	0.305	*	3009_g	2613_g	1096_g	2685_g	2590_g	705_g	*
6	6	0.305	*	3024_g	27_g	4712_g	34_g	24_g	909_g	*
6	6	0.305	*	3090_g	2050_g	173_g	2092_g	2008_g	1103_g	*
6	6	0.305	*	3325_g	2724_g	4401_g	2786_g	2695_g	1986_g	*
6	6	0.305	*	3573_g	2993_g	1173_g	*	2947_g	3431_g	13469_g
6	6	0.305	*	3740_g	948_g	325_g	980_g	933_g	325_g	*
6	6	0.305	*	377_g	543_g	3628_g	556_g	521_g	1587_g	*
6	6	0.305	*	4341_g	2085_g	1110_g	2127_g	2041_g	1136_g	*
6	6	0.305	*	512_g	2818_g	1249_g	2891_g	2791_g	1893_g	*
6	6	0.305	*	5477_g	4311_g	3822_g	4413_g	4318_g	2908_g	*
6	6	0.305	*	615_g	1008_g	267_g	1042_g	989_g	379_g	*
6	6	0.305	*	6593_g	1676_g	1500_g	1734_g	1649_g	2603_g	*
6	6	0.305	*	6769_g	2156_g	762_g	2208_g	2113_g	1209_g	*
6	6	0.305	*	851_g	4189_g	3146_g	4285_g	4201_g	626_g	*
6	6	0.305	1003_g	*	4208_g	3921_g	4309_g	4220_g	645_g	*
6	6	0.305	176_g	3327_g	697_g	*	724_g	676_g	99_g	*
6	6	0.305	20_g	3141_g	3320_g	878_g	*	3300_g	3269_g	*
6	6	0.305	224_g	*	1384_g	1658_g	1430_g	1359_g	4818_g	*
6	6	0.305	401_g	*	1233_g	1803_g	1279_g	1214_g	602_g	*
6	6	0.305	509_g	3054_g	4788_g	2932_g	*	4783_g	3698_g	*
6	6	0.305	566_g	3281_g	1854_g	*	1895_g	1820_g	2441_g	*
6	6	0.305	582_g	*	2089_g	1116_g	2133_g	2045_g	1141_g	*
6	6	0.305	723_g	*	2276_g	2264_g	2341_g	2237_g	1330_g	*
6	6	0.305	783_g	2100_g	2950_g	1138_g	*	2915_g	3396_g	*
6	6	0.305	78_g	3691_g	1375_g	1667_g	1421_g	*	4809_g	*
6	6	0.305	807_g	3630_g	2558_g	1043_g	*	2533_g	2353_g	*
6	6	0.305	84_g	5525_g	1096_g	1937_g	*	1076_g	464_g	*
6	6	0.305	896_g	*	4102_g	3070_g	4194_g	4119_g	3562_g	*
6	6	0.298	*	1288_g	4269_g	3862_g	4386_g	4279_g	2947_g	*
6	6	0.298	*	2577_g	2023_g	146_g	2061_g	1980_g	1077_g	*
6	6	0.298	*	303_g	4509_g	2668_g	4621_g	4516_g	3956_g	*
6	6	0.298	*	3273_g	1706_g	1470_g	1761_g	1677_g	2573_g	*
6	6	0.298	*	3370_g	988_g	286_g	1019_g	972_g	361_g	*
6	6	0.298	*	3847_g	1724_g	1453_g	1771_g	1694_g	2557_g	*
6	6	0.298	*	3935_g	177_g	4566_g	189_g	172_g	4371_g	*
6	6	0.298	*	5584_g	4687_g	2841_g	4797_g	4686_g	3786_g	*
6	6	0.298	*	6824_g	1734_g	1442_g	1776_g	1705_g	2548_g	*
6	6	0.298	1282_g	4396_g	3253_g	946_g	*	3233_g	3205_g	*
6	6	0.298	662_g	*	585_g	3587_g	600_g	560_g	4303_g	*
6	6	0.283	*	1017_g	1773_g	1400_g	1820_g	1744_g	2507_g	*
6	6	0.283	*	1165_g	3797_g	4035_g	3877_g	3792_g	2278_g	*
6	6	0.283	*	1510_g	1207_g	1827_g	1253_g	1190_g	577_g	*
6	6	0.283	*	2862_g	4727_g	2880_g	4841_g	4729_g	3749_g	*
6	6	0.283	*	2934_g	2370_g	2359_g	2446_g	2330_g	1423_g	*
6	6	0.283	*	3168_g	3418_g	5109_g	3496_g	3415_g	4581_g	*
6	6	0.283	*	3402_g	2578_g	1062_g	2648_g	2551_g	2334_g	*
6	6	0.283	*	3455_g	1877_g	1303_g	1918_g	1841_g	2420_g	*
6	6	0.283	*	3613_g	2767_g	4354_g	2835_g	2740_g	1941_g	*
6	6	0.283	*	3835_g	928_g	345_g	968_g	912_g	314_g	*
6	6	0.283	*	412_g	3396_g	5095_g	3476_g	3379_g	4567_g	*
6	6	0.283	*	4321_g	607_g	3566_g	624_g	581_g	4325_g	*
6	6	0.283	*	433_g	555_g	3617_g	571_g	532_g	1576_g	*
6	6	0.283	*	5494_g	1152_g	1877_g	1195_g	1136_g	522_g	*
6	6	0.283	*	651_g	3735_g	3976_g	3813_g	3732_g	2982_g	*
6	6	0.283	*	6813_g	469_g	520_g	482_g	451_g	1659_g	*
6	6	0.283	*	7000_g	135_g	4609_g	148_g	128_g	807_g	*
6	6	0.283	*	744_g	1810_g	1369_g	1852_g	1777_g	2478_g	*
6	6	0.283	152_g	1528_g	3443_g	5132_g	*	3438_g	4605_g	*
6	6	0.283	295_g	3215_g	3674_g	3321_g	3758_g	3622_g	*	*
6	6	0.283	386_g	*	540_g	3631_g	553_g	518_g	1589_g	*
6	6	0.283	629_g	2427_g	3796_g	4034_g	*	3791_g	2279_g	*
6	6	0.283	677_g	4221_g	4558_g	2719_g	*	4567_g	3910_g	*
6	6	0.283	789_g	1456_g	4350_g	3781_g	*	4360_g	2868_g	*
6	6	0.268	*	1308_g	1590_g	1587_g	1639_g	1563_g	2687_g	*
6	6	0.268	*	1986_g	3651_g	3300_g	3733_g	3643_g	3094_g	*
6	6	0.268	*	2242_g	844_g	432_g	879_g	826_g	230_g	*
6	6	0.268	*	2346_g	1262_g	1779_g	1308_g	1241_g	4700_g	*
